type,value,n
family,Cities: Naples,9
family,Great Campaigns of the American Civil War,9
family,Great War at Sea,9
family,Hip Pocket Games,9
family,Holidays:  4th of July,9
family,Islands: Sicily,9
family,Living Card Game,9
family,Napoleon At Waterloo,9
family,Queen Small Box,9
family,Rabbit Line (Dice Hate Me Games),9
family,Ravensburger Kartenspiele,9
family,Smash Up,9
family,Sorry!,9
family,Sports: Ice Hockey,9
family,Ticket to Ride,9
family,Tower Defense,9
family,Ubongo Series,9
family,Warhammer Fantasy Wargames,9
artist,Alan D'Amico,8
artist,Alex Boyd,8
artist,Allen D. Eldridge,8
artist,Alvin Belflower,8
artist,Anson Maddocks,8
artist,Bertrand Benoit,8
artist,Beth Donahue,8
artist,Biboun,8
artist,Bluguy,8
artist,Charlie Bink,8
artist,Chris Raimo,8
artist,Chris Vande Voort,8
artist,Christopher Moeller,8
artist,Cody Jones,8
artist,Colin Dixon,8
artist,Curt Covert,8
artist,Cyril Bouquet,8
artist,Dan Smith,8
artist,Dave Clegg,8
artist,Dave Dobyski,8
artist,David Fooden,8
artist,David Forest,8
artist,David Kidd,8
artist,Demis Savini,8
artist,Edward Beard,8
artist,Emmanuel Roudier,8
artist,Enea Riboldi,8
artist,Enggar Adirasa,8
artist,Felix Scheinberger,8
artist,Geoff Taylor,8
artist,George Patsouras,8
artist,Gerald Brom,8
artist,Gianpaolo Derossi,8
artist,Giuseppe Rava,8
artist,Grzegorz Bobrowski,8
artist,Ian Wedge,8
artist,James Nelson,8
artist,John Zeleznik,8
artist,Jörg Asselborn,8
artist,Keith Lowe,8
artist,Kevin Walker,8
artist,Kevin Zucker,8
artist,Marie Cardouat,8
artist,Marina Fahrenbach,8
artist,Mark Gibbons,8
artist,Monte Moore,8
artist,Neil Hodgson,8
artist,Ossi Hiekkala,8
artist,Paul Dainton,8
artist,Paul Mafayon,8
artist,Pete Venters,8
artist,Pixel Productions Inc.,8
artist,R. Vance Buck,8
artist,Ralph Horsley,8
artist,Sanjana Baijnath,8
artist,Scott Fischer,8
artist,Stephen Graham Walsh,8
artist,Studio Tapiro,8
artist,Sławomir Maniak,8
artist,Thomas Vuarchex,8
artist,Tom Dalgliesh,8
artist,Tom Thiel,8
artist,Vicki Dalton,8
artist,Wan Chiu,8
artist,Wolfgang Scheit,8
designer,Adam Kwapiński,8
designer,Alain Ollier,8
designer,Alan D. Ernstein,8
designer,Alf Seegert,8
designer,Andreas Seyfarth,8
designer,Bastiaan Brederode,8
designer,Brian Knudson,8
designer,Brian S. Spence,8
designer,Brien J. Miller,8
designer,Charles Phillips,8
designer,Charles S. Roberts,8
designer,Chris Dupuis,8
designer,Chuck Kallenbach,8
designer,Colby Dauch,8
designer,Craig Kinzer,8
designer,Curt Covert,8
designer,David Carl,8
designer,David Parlett,8
designer,Derek Carver,8
designer,Duccio Vitale,8
designer,Filip Miłuński,8
designer,Horst-Rainer Rösner,8
designer,J. Stephen Peek,8
designer,Jake Thornton,8
designer,Jeff Grubb,8
designer,Jeff Siadek,8
designer,Jeff Tidball,8
designer,John Desch,8
designer,John Edwards,8
designer,John Harshman,8
designer,Jonathan Tweet,8
designer,Keith Poulter,8
designer,Klaus Palesch,8
designer,Laurent Escoffier,8
designer,"Leonhard ""Lonny"" Orgler",8
designer,Lukas Zach,8
designer,Matthew Kirby,8
designer,Michael Feldkötter,8
designer,Michele Quondam,8
designer,Monty Stambler,8
designer,Nick Hayes,8
designer,Paul Rohrbaugh,8
designer,Peer Sylvester,8
designer,Philippe Keyaerts,8
designer,Pierluca Zizzi,8
designer,Piero Cioni,8
designer,Randall C. Reed,8
designer,Roland Siegers,8
designer,Sebastian Bleasdale,8
designer,Stephen Hand,8
designer,Stephen McLaughlin,8
designer,Sylvie Barc,8
designer,Tyler Bielman,8
expansion, Benefactor of All Promo,8
expansion, Dark Muse Promo Card,8
expansion,Ascension: Archival Expert Promo,8
expansion,Ascension: Cetra,8
expansion,Ascension: Dawn of Champions – Rys,8
expansion,Ascension: Lunar Matriarch Promo,8
expansion,Ascension: Nyxian Corruptor Promo,8
expansion,Ascension: Sadistic Laboratory Promo,8
expansion,Brettspiel Easter Basket 2016,8
expansion,Munchkin Bookmark Collection,8
expansion,Munchkin Official Shirts,8
expansion,Munchkin Sammlerkoffer,8
expansion,Panzer Grenadier: Invasion of Germany,8
expansion,UK (fan expansion to Ticket to Ride),8
expansion,Ultimate Werewolf Artifacts,8
family, Elves and Pixies,8
family,Ace of Aces,8
family,Animals: Bees,8
family,Animals: Hedgehogs/Porcupines,8
family,Animals: Pandas,8
family,Blue Games Series,8
family,CD Board Games,8
family,Cities: Arnhem,8
family,Cities: Athens,8
family,Cities: Granada,8
family,Country: Guatemala,8
family,Country: Iraq,8
family,Dystopian Universe,8
family,Edition Perlhuhn series at Franckh-Kosmos,8
family,Fairies,8
family,Goldsieber à la Carte,8
family,Harvest Series,8
family,Ingenious,8
family,Lost Legacy,8
family,Magazine: C3i,8
family,Movies: The Walking Dead,8
family,Mutant Chronicles,8
family,Mystery Rummy,8
family,Pictionary,8
family,Pixar Cars,8
family,Power Grid,8
family,Queen Big Box Series,8
family,Sports: Basketball,8
family,Sports: Hunting,8
family,Stronghold Games: The Great Designer Series,8
family,TV Detectives,8
family,Time's Up!,8
family,Toy Story,8
family,Underwater War,8
family,Valley Games Modern Line,8
family,Victory Point Games Battlesson Series,8
family,Z-Man / Filosofia deluxe card game series,8
artist,Alanna Cervenak,7
artist,Ari Wong,7
artist,Ariel Seoane,7
artist,Art Lupinacci,7
artist,Atha Kanaani,7
artist,Banu Andaru,7
artist,Ben Prenevost,7
artist,Ben Wootten,7
artist,Ben Zweifel,7
artist,Benjamin Shulman,7
artist,Beth Sobel,7
artist,Carl Frank,7
artist,Chris Baker,7
artist,Chuck Whelon,7
artist,Clay Gardner,7
artist,Conceptopolis,7
artist,Dan Frazier,7
artist,Daren Bader,7
artist,David C. Sutherland,7
artist,Drew Perkett,7
artist,Francesco Mattioli,7
artist,Franz-Josef Schulte,7
artist,Giulia Ghigini,7
artist,Gong Studios,7
artist,Greg Hyland,7
artist,Gérard Mathieu,7
artist,Iga W. Grygiel,7
artist,Jacob Walker,7
artist,Jason Millet,7
artist,Jean Baptiste Édouard Detaille,7
artist,Jeff Himmelman,7
artist,Jeff Menges,7
artist,Jes Goodwin,7
artist,John Wigley,7
artist,Judith Lamont,7
artist,Kieran Yanner,7
artist,Krzysztof Matusik,7
artist,Lars Grant-West,7
artist,Marek Bláha,7
artist,Margaret Organ-Kean,7
artist,Mark Tedin,7
artist,Martin McKenna,7
artist,Melvin de Voor,7
artist,Michael Bayer,7
artist,Michael Christopher,7
artist,Michael Komarck,7
artist,Mike Atkinson,7
artist,Mike Russo,7
artist,Neriac,7
artist,Noah Bradley,7
artist,Noboru Hotta,7
artist,Nuala Kennedy,7
artist,Orlando Villagran,7
artist,Pascal Quidault,7
artist,Patrick Stevens,7
artist,Pete Knifton,7
artist,Peter Gifford,7
artist,Peter Y. Bromley,7
artist,Phil Walker-Harding,7
artist,Piotr Słaby,7
artist,Rafał Szyma,7
artist,Ramses Bosque,7
artist,Randy Gallegos,7
artist,Randy Martinez,7
artist,Reinhold Wittig,7
artist,Richard Thomas (I),7
artist,Roger Raupp,7
artist,Roman Kucharski,7
artist,Rosaria Baldari,7
artist,Rudi Hoffmann,7
artist,Sampo Sikiö,7
artist,Scott Everts,7
artist,Scott Hartman,7
artist,Scott Okumura,7
artist,Scott Starkey,7
artist,Stefano de Fazi,7
artist,Steffen Mühlhäuser,7
artist,Stephen Langmead,7
artist,Stephen Tappin,7
artist,Susan Robinson,7
artist,Susan Van Camp,7
artist,Ted Alspach,7
artist,Thomas Gianni,7
artist,Todd Davis,7
artist,Tomasz Tworek,7
artist,Viktor Csete,7
artist,Volker Maas,7
artist,Wayne Reynolds,7
artist,Yvon-Cheryl Scholten,7
artist,Zac Pensol,7
artist,lu'cifer,7
designer,Alessandro Zucchini,7
designer,Amanda Birkinshaw,7
designer,Andreas Pelikan,7
designer,Andreas Schmidt,7
designer,Andrew Lawson,7
designer,Andrew Wolf,7
designer,Ben Pinchback,7
designer,Bernhard Lach,7
designer,Bill Slavicsek,7
designer,Brent Knudson,7
designer,Colleen Skadl,7
designer,Cory Jones,7
designer,Craig Besinque,7
designer,Daniel Solis,7
designer,"David ""Zeb"" Cook",7
designer,David Freeman,7
designer,David G. D. Hecht,7
designer,David Short,7
designer,Doug Kaufman,7
designer,Ed Beach,7
designer,Guido Hoffmann,7
designer,Guillaume Blossier,7
designer,Hartmut Witt,7
designer,Heinrich Glumpler,7
designer,Henri Kermarrec,7
designer,Hervé Marly,7
designer,Hope S. Hwang,7
designer,Isaac Vega,7
designer,Jack Lawson,7
designer,Jean du Poël,7
designer,Jeremy Holcomb,7
designer,Jim Keifer,7
designer,John Goodenough,7
designer,Kai Haferkamp,7
designer,Kevin Barrett,7
designer,Klaus Miltenberger,7
designer,Kris Gould,7
designer,Manfred Ludwig,7
designer,Mark Alan Osterhaus,7
designer,Mark Miklos,7
designer,Marsha J. Falco,7
designer,Masao Suganuma,7
designer,Matt Riddle,7
designer,Matt Wilson,7
designer,Michael E. Matheny,7
designer,Michael Mulvihill,7
designer,Nate French,7
designer,Niek Neuwahl,7
designer,Paul J. Gruen,7
designer,Perepau Llistosella,7
designer,Peter Neugebauer,7
designer,Pierrick Yakovenko,7
designer,Roberto Di Meglio,7
designer,Rodney Thompson,7
designer,Sergey Machin,7
designer,Susumu Kawasaki,7
designer,Theora Design,7
designer,Thomas Denmark,7
designer,Thomas Vuarchex,7
designer,Tony Curtis,7
designer,Uwe Rapp,7
designer,Volko Ruhnke,7
expansion, Beastwarden,7
expansion,Ascension: Eternal Tormentor Promo Card,7
expansion,Ascension: Explosive Swarm Promo,7
expansion,Ascension: Forrest,7
expansion,Ascension: Hedron Dreidel,7
expansion,Ascension: Temporal Excavator Promo Card,7
expansion,Carcassonne: Bonusplättchen Spiel 2014,7
expansion,Carcassonne: Bonusplättchen Spiel 2015,7
expansion,Carcassonne: The Count of Carcassonne,7
expansion,Cool Mini Or Not Promo Pack 2016,7
expansion,Great War at Sea: Dreadnoughts,7
expansion,Last Battles of Napoleon,7
expansion,Panzer Grenadier: Waltzing Matilda,7
expansion,Simple GBoH,7
expansion,Smash Up: The Big Geeky Box,7
expansion,Ticket to Ride: Europa 1912,7
expansion,Treasure Chest,7
family,Animals: Worms,7
family,Atlantis,7
family,Automotive,7
family,Battles from the Age of Reason (BAR),7
family,Battles of the American Revolution,7
family,Bigfoot / Yeti / Sasquatch,7
family,Blue & Gray Series,7
family,Categories,7
family,Characters: Asterix,7
family,Characters: Jack the Ripper,7
family,Cities: Palermo,7
family,Cities: Warsaw,7
family,Country: Argentina,7
family,Country: Czech Republic,7
family,Country: Holy Roman Empire,7
family,Country: Ireland,7
family,Country: Solomon Islands,7
family,Dominoes,7
family,English Civil War,7
family,French and Indian War,7
family,GIPF Project,7
family,Guild: Game Designers of North Carolina,7
family,Heritage USA Microgames,7
family,Historic Railroads System,7
family,Hold the Line,7
family,Key-series,7
family,Lookout Games Fur Zwei Spieler Series,7
family,Lost Cities,7
family,Mastermind,7
family,Music Making & Makers,7
family,Ogre/GEV Family,7
family,Panzer game system,7
family,Poker,7
family,Rivers: Nile,7
family,Rondel Series,7
family,Second World War at Sea,7
family,Smithsonian Institute Series,7
family,Sports: Aerial Racing,7
family,Sports: Mountain climbing,7
family,Sports: Sailing,7
family,Sports: Tennis,7
family,Sports: Winter Sports,7
family,Sports: Wrestling,7
family,TSR Minigames,7
family,TV Series: Adventure Time,7
family,TV Series: Firefly,7
family,The Weird West (BGG Family),7
family,Tier auf Tier,7
family,Victory Point Games Euro-Family Series,7
family,Warmachine,7
family,Wars of the Roses,7
family,World in Flames,7
artist,Albert Uderzo,6
artist,Alexander Bradley,6
artist,Alison Frane,6
artist,Allison Kline,6
artist,Andrew Hou,6
artist,Angelo Porazzi,6
artist,Antonio Catalán,6
artist,Antonio Dessi,6
artist,Barbara Kinzebach,6
artist,Barbie Pratt,6
artist,Blake Beasley,6
artist,Brent Knudson,6
artist,Callie Cummins,6
artist,Cara Judd,6
artist,Chad Jensen,6
artist,Charles Urbach,6
artist,Charles Woods,6
artist,Chih-Fan Chen,6
artist,Chris Ostrowski,6
artist,Christina Wald,6
artist,Christophe Gentil-Perret,6
artist,Christopher Rush,6
artist,David Boniffacy,6
artist,David Helber,6
artist,David Martin (II),6
artist,David McElhannon,6
artist,David Prieto,6
artist,Derek Bacon,6
artist,Des Hanley,6
artist,Don Greenwood,6
artist,Donal Hegarty,6
artist,Doug Kovacs,6
artist,Earl Geier,6
artist,Ed Dovey,6
artist,Eric Williams (I),6
artist,Felicia Cano,6
artist,Gary A. Kalin,6
artist,Gavan Brown,6
artist,Gerhard Schmid,6
artist,Gil d'Orey,6
artist,Goulven Quentel,6
artist,Greg Cervall,6
artist,Guillaume Ries,6
artist,Heather Hudson,6
artist,Howard Chaykin,6
artist,Ismaël Pommaz,6
artist,Jak L. Hueng,6
artist,Janine Johnston,6
artist,Jason Glover,6
artist,Jason Juta,6
artist,Jean-Baptiste Reynaud,6
artist,Jeremy McHugh,6
artist,Jessica R. E. Bethke,6
artist,Jim Clouse,6
artist,Joe DeMarco,6
artist,Joel Biske,6
artist,John Gravato,6
artist,John Yianni,6
artist,Jonathan Young,6
artist,Kelly McClellan,6
artist,Kennon James,6
artist,Klaus Wilinski,6
artist,Larry MacDougall,6
artist,Marek Szyszko,6
artist,Mark Churms,6
artist,Mark Zug,6
artist,Matthias Wittig,6
artist,Michelle Nephew,6
artist,Mike Kimble,6
artist,Mike Krahulik,6
artist,Ollin Timm,6
artist,P. D. Magnus,6
artist,Pascal Trigaux,6
artist,Paul Dangel,6
artist,Paula Simonetti,6
artist,Peter Andrew Jones,6
artist,Piotr Foksowicz,6
artist,Rafał Hrynkiewicz,6
artist,Raphael,6
artist,Reinhard Horst,6
artist,Reinis Pētersons,6
artist,René Goscinny,6
artist,Rob Alexander,6
artist,Robb Mommaerts,6
artist,Robert Tunstall,6
artist,Robin Carey,6
artist,Ryan Barger,6
artist,Sam Wood,6
artist,Sami Laakso,6
artist,Sebastian Wagner,6
artist,Sergi Marcet,6
artist,Stephanie Pui-Mun Law,6
artist,Stephen Sullivan,6
artist,Steve Argyle,6
artist,Steve Ellis (I),6
artist,Steve Prescott,6
artist,Thierry Masson,6
artist,Thomas Manning,6
artist,Thomas Weiss,6
artist,Tim Arney-O'Neil,6
artist,Tim Hildebrandt,6
artist,Todd F. Marsh,6
artist,Tony Foti,6
artist,Tyler Walpole,6
artist,Winchell Chung,6
artist,Yuio,6
artist,Élise Plessis,6
designer,Aaron Dill,6
designer,Alban Viard,6
designer,Andrei Novac,6
designer,Andrew Hackard,6
designer,Ben Cichoski,6
designer,Ben Hull,6
designer,Brian M. Kibler,6
designer,Bryan Kinsella,6
designer,Carey Grayson,6
designer,Chad Ellis,6
designer,Chad Jensen,6
designer,Charles T. Kamps,6
designer,Chislaine van den Bulk,6
designer,Christwart Conrad,6
designer,Czarnè,6
designer,Dan Tibbles,6
designer,Daniel Mandel,6
designer,Daniele Tascini,6
designer,Darwin Bromley,6
designer,Dirk Knemeyer,6
designer,Elad Goldsteen,6
designer,Emiliano Sciarra,6
designer,Eric B. Vogel,6
designer,Ethan Pasternack,6
designer,Francis Pacherie,6
designer,Geoff Engelstein,6
designer,Gianluca Santopietro,6
designer,Gil d'Orey,6
designer,Grant Dalgliesh,6
designer,Gun-Hee Kim,6
designer,Hajo Bücken,6
designer,Howard Barasch,6
designer,J. D. Webster,6
designer,Jack Darwid,6
designer,Jacob Davenport,6
designer,Jason Glover,6
designer,Jason Matthews,6
designer,Jeffrey Neil Bellinger,6
designer,Joe Angiolillo,6
designer,Johann Rüttinger,6
designer,John Kovaleski,6
designer,John Yianni,6
designer,Jon Southard,6
designer,Jun Sasaki,6
designer,Keith Baker,6
designer,Keith Meyers,6
designer,Kory Heath,6
designer,Larry Pinsky,6
designer,Lorenzo Silva,6
designer,Mark Chaplin,6
designer,Michael Eskue,6
designer,Michael Rinella,6
designer,Mick (Mike) Uhl,6
designer,Mike Richie,6
designer,Neil Zimmerer,6
designer,Nik Sewell,6
designer,Néstor Romeral Andrés,6
designer,Ora Coster,6
designer,Patrick Stevens,6
designer,Paul Dangel,6
designer,Peter Burley,6
designer,Peter Hawes,6
designer,Philip Reed,6
designer,Richard Baker,6
designer,Rick Young,6
designer,Rikki Tahta,6
designer,Rob Beyma,6
designer,Sandy Petersen,6
designer,Sean Brown,6
designer,Sean Sweigart,6
designer,Shadi Torbey,6
designer,Shem Phillips,6
designer,Skaff Elias,6
designer,Stefan Risthaus,6
designer,Steffen Mühlhäuser,6
designer,Susan McKinley Ross,6
designer,Sébastien Pauchon,6
designer,Tetsuya Nakamura,6
designer,Theo Coster,6
designer,Tom Schoeps,6
designer,Tomasz Z. Majkowski,6
designer,Vangelis Bagiartakis,6
designer,Virginio Gigli,6
designer,Xavier Georges,6
expansion, Prophetic Guide,6
expansion, Star Oracle,6
expansion,Ascension: Chronicle of the Godslayer – Constricting Horror Promo,6
expansion,Ascension: Chronicle of the Godslayer – Defender of Vigil Promo,6
expansion,Ascension: Chronicle of the Godslayer – Disciple of Sadranis Promo,6
expansion,Ascension: Chronicle of the Godslayer – Foul Replicant Promo,6
expansion,Ascension: Chronicle of the Godslayer – N.I.N.E,6
expansion,Ascension: Chronicle of the Godslayer – Vault of the Askara,6
expansion,Ascension: David,6
expansion,Ascension: Michelle,6
expansion,But Wait,6
expansion,Carcassonne: King & Scout,6
expansion,Carcassonne: The Flying Machines,6
expansion,Fluxx: BoardGameGeek Expansion,6
expansion,Great War At Sea: Great White Fleet,6
expansion,Panzer Grenadier: Divisione Corazzata,6
expansion,Panzer Grenadier: North of Elsenborn,6
expansion,Pixel Tactics: Apprentice / Verona,6
expansion,Pixel Tactics: Argent University,6
expansion,Pixel Tactics: Baenvier Marlgrove,6
expansion,Pixel Tactics: Cadenza,6
expansion,Pixel Tactics: Collector / Arcus,6
expansion,Pixel Tactics: Devil's Advocate / Grimesby,6
expansion,Pixel Tactics: Game Artist / Fábio Fontes,6
expansion,Pixel Tactics: Game Designer / D. Brad Talton Jr.,6
expansion,Pixel Tactics: Game Geek / Ernie the Geek,6
expansion,Pixel Tactics: Game Informant / Ryan Metzler,6
expansion,Pixel Tactics: Game Pundit / Zee Garcia,6
expansion,Pixel Tactics: Game Reviewer/Tom Vasel,6
expansion,Pixel Tactics: Game Show Host/Roy,6
expansion,Pixel Tactics: Kaitlyn Van Sorrel,6
expansion,Pixel Tactics: Mercenary / Gerard Matranga,6
expansion,Pixel Tactics: Reporter / Marion,6
expansion,Pixel Tactics: Robot / Mark.PT0,6
expansion,Pixel Tactics: Seven Sisters,6
expansion,Pixel Tactics: Shekhtur Lenmorre,6
expansion,Pixel Tactics: The Price Of Victory,6
expansion,Pixel Tactics: Udstad,6
expansion,The Red Dragon Inn: Eve's Mystery Mead,6
