type,value,n
family,Magazine: Vae Victis,12
family,Mars,12
family,Mystery Novels,12
family,Oil,12
family,Panzergruppe Guderian System,12
family,Picture Book Games,12
family,Pokémon,12
family,Political: Elections,12
family,Sci-Fi Sports,12
family,Stratego Series,12
family,Timeline,12
family,Video Tape Box Games,12
family,World of Indines,12
artist,Anders Finér,11
artist,Arthur Wagner,11
artist,Bernhard Skopnik,11
artist,Charlie Paull,11
artist,Cheyenne Wright,11
artist,Design/Main,11
artist,Eric Sabee,11
artist,Gabby Ruenes,11
artist,Guido Favaro,11
artist,Imelda Vohwinkel,11
artist,Ivor M. Janci,11
artist,Keith Rocco,11
artist,Kevin Wilkins,11
artist,Maciej Szymanowicz,11
artist,Marc von Martial,11
artist,Marko Fiedler,11
artist,Masahiro Yamazaki,11
artist,Melissa Benson,11
artist,Rob Lundy,11
artist,Steve Bryant,11
artist,Steve Venters,11
artist,Todd Sanders,11
artist,Vincenzo Auletta,11
artist,William H. Keith,11
category,Expansion for Base-game,11
designer,Adam Kałuża,11
designer,Alan Emrich,11
designer,Alexander Pfister,11
designer,Andreas Steding,11
designer,Bernhard Weber,11
designer,Darwin Kastle,11
designer,Dominic Crapuchettes,11
designer,Emanuele Ornella,11
designer,Eric Goldberg,11
designer,Eric Lee Smith,11
designer,Eric Solomon,11
designer,Franz-Benno Delonge,11
designer,Glenn Drover,11
designer,Helmut Ohley,11
designer,Knut Happel,11
designer,Marco Donadoni,11
designer,Mark Simonitch,11
designer,Martin Schlegel,11
designer,Ralf zur Linde,11
designer,Reinhold Wittig,11
designer,Reuben Klamer,11
designer,Rob Heinsoo,11
designer,Simone Luciani,11
designer,Sérgio Halaban,11
family,A Song of Ice and Fire,11
family,Alea Medium Box,11
family,Animals: Deer,11
family,Animals: Donkeys,11
family,Animals: Ducks,11
family,Animals: Turtles,11
family,Apples to Apples,11
family,B-Movies,11
family,BattleTech,11
family,Battleship,11
family,CTGs (Collectible Token Games),11
family,Card Games: Draw and Discard Games,11
family,Characters: Robin Hood,11
family,Cities: Chicago (Illinois,11
family,Cities: Moscow,11
family,Commands & Colors,11
family,Country: Norway,11
family,Cranium,11
family,Cube Rails,11
family,Fantasy Flight Big Box,11
family,GDW's  Series 120,11
family,La Bataille series,11
family,Middle Eastern Theme,11
family,Pachisi-Ludo,11
family,Ravensburger Labyrinth Games,11
family,Star Fleet Universe,11
family,The Realms of Terrinoth,11
family,Wings of Glory / Wings of War,11
artist,Andrea Boekhoff,10
artist,Beth Trott,10
artist,Brandon Pennington,10
artist,Chris Seaman,10
artist,Christian Opperer,10
artist,Daniel Gelon,10
artist,Daniel Solis,10
artist,Dario Calì,10
artist,Didier Bourgeois,10
artist,Don Troiani,10
artist,Drew Baker,10
artist,Elisa Teague,10
artist,Franck Dion,10
artist,Grafik Studio Krüger,10
artist,Guido Hoffmann,10
artist,Jeff Easley,10
artist,Juliet Breese,10
artist,Karl Kopinski,10
artist,Matt Wilson,10
artist,Michael Phillippi,10
artist,Mike Jackson,10
artist,Milan Vavroň,10
artist,Nicolas Neubauer,10
artist,Olivier Revenu,10
artist,Pete Fenlon,10
artist,Phil Eklund,10
artist,Philip Reed,10
artist,Randall C. Reed,10
artist,Sergey Dulin,10
artist,Stéphane Escapa,10
artist,Todd Lockwood,10
designer,Andrea Meyer,10
designer,André Zatz,10
designer,Christian Fiore,10
designer,Ed Wimble,10
designer,Forrest-Pruzan Creative,10
designer,Gene Billingsley,10
designer,H. Jean Vanaise,10
designer,Jay Cormier,10
designer,Jeffrey Breslow,10
designer,Jeffrey D. Allers,10
designer,Jens-Peter Schliemann,10
designer,Kevin G. Nunn,10
designer,Krzysztof Matusik,10
designer,Luke Peterschmidt,10
designer,Maciej Zasowski,10
designer,Marco Teubner,10
designer,Mark McLaughlin,10
designer,Matthias Cramer,10
designer,Michael Palm,10
designer,Michał Stachyra,10
designer,Ryan Laukat,10
designer,Ryan Miller,10
designer,Sam Lewis,10
designer,Sen-Foong Lim,10
designer,Steffen Benndorf,10
designer,Stephen Glenn,10
designer,Steve Finn,10
designer,Terry Miller Associates,10
designer,Tom Walczyk,10
designer,Walter Obert,10
expansion, Born of Chaos Promo,10
expansion,Ascension: Dreamscape - Nova,10
expansion,Ascension: Shadow Piercer Promo,10
expansion,Ascension: Storm's Eye Monk Promo,10
expansion,Epic Munchkin,10
expansion,Mayfair Game Variants & Mini-Expansions Set #1,10
expansion,Munchkin Promo Cards,10
expansion,Regulations of the Year XXII,10
expansion,Règlement de l'An XXX,10
family,Age of Discovery,10
family,Animals: Hippopotamus,10
family,Animals: Rats,10
family,Animals: Snakes,10
family,Animals: Wolves,10
family,Avalanche Press Chitpull Series,10
family,Campaigns of Napoleon System: 1x Series,10
family,Celebrities: Shakespeare,10
family,Cities: Genova,10
family,Cities: Paris (France),10
family,Country: Austria,10
family,Country: Chile,10
family,Crowdfunding: Indiegogo,10
family,Gladiators,10
family,Global warming,10
family,Holidays: Christmas,10
family,Jenga,10
family,Jours de Gloire Series,10
family,Leader Series,10
family,Oceanian Theme,10
family,Pack O Game,10
family,Pirates of the Caribbean,10
family,Schmidt Spiele Easy Play Line,10
family,Solitaire Print and Play Contest,10
family,Spanish Civil War,10
family,TV Series: Dr. Who,10
family,Task Force Games: Pocket Games series,10
family,The Chicken Family of Zoch,10
family,Treefrog Line,10
family,Visual Arts: Painting,10
artist,Agnieszka Kopera,9
artist,Alberto Bontempi,9
artist,Annette Nora Kara,9
artist,April Lee,9
artist,Bernard Bittler,9
artist,Bob Naismith,9
artist,Christine Conrad,9
artist,Christopher Burdett,9
artist,Clark Miller,9
artist,Cyril Van Der Haegen,9
artist,Daarken,9
artist,Dallas Mehlhoff,9
artist,Dana Andrews,9
artist,David Ausloos,9
artist,Dean MacAdam,9
artist,Dennis Kauth,9
artist,Derek Ring,9
artist,Dominique Ehrhard,9
artist,Eric J. Carter,9
artist,Fréderic Bertrand,9
artist,Gary Chalk,9
artist,Giota Vorgia,9
artist,Guillaume Rohmer,9
artist,Ian O'Toole,9
artist,Jack Scott Hill,9
artist,Jennifer Vargas,9
artist,Jere Kasanen,9
artist,Kaja Foglio,9
artist,Kerem Beyit,9
artist,Kevin Childress,9
artist,Lina Cossette,9
artist,Liz Danforth,9
artist,Loïc Billiau,9
artist,Mathieu Harlaut,9
artist,Odysseas Stamoglou,9
artist,Patricia Raubo,9
artist,Paul Laane,9
artist,Piotr Socha,9
artist,Sandra Freudenreich,9
artist,Siscu Bellido,9
artist,Stephanie Gustafsson,9
artist,Tomáš Kučerovský,9
artist,Tony Boydell,9
artist,Volkan Baga,9
artist,Xavier Carrascosa,9
designer,Adam Starkweather,9
designer,Andrea Chiarvesio,9
designer,Ann Stambler,9
designer,Carl Chudyk,9
designer,Carlo A. Rossi,9
designer,Chris Taylor,9
designer,Darrell Hardy,9
designer,Dave Long (I),9
designer,Dave Williams (II),9
designer,David C. Isby,9
